datetime.utc,temp,site,keep,conversion,datetime.pdt
2022-04-25 20:26,10.5,cp-high,yes,7:00,2022-04-25 13:26
2022-04-25 20:56,10.5,cp-high,yes,7:00,2022-04-25 13:56
2022-04-25 21:26,10.5,cp-high,yes,7:00,2022-04-25 14:26
2022-04-25 21:56,10.5,cp-high,yes,7:00,2022-04-25 14:56
2022-04-25 22:26,10,cp-high,yes,7:00,2022-04-25 15:26
2022-04-25 22:56,10.5,cp-high,yes,7:00,2022-04-25 15:56
2022-04-25 23:26,10.5,cp-high,yes,7:00,2022-04-25 16:26
2022-04-25 23:56,10.5,cp-high,yes,7:00,2022-04-25 16:56
2022-04-26 0:26,10.5,cp-high,yes,7:00,2022-04-25 17:26
2022-04-26 0:56,11,cp-high,yes,7:00,2022-04-25 17:56
2022-04-26 1:26,10.5,cp-high,yes,7:00,2022-04-25 18:26
2022-04-26 1:56,10,cp-high,yes,7:00,2022-04-25 18:56
2022-04-26 2:26,9.5,cp-high,yes,7:00,2022-04-25 19:26
2022-04-26 2:56,9,cp-high,yes,7:00,2022-04-25 19:56
2022-04-26 3:26,8.5,cp-high,yes,7:00,2022-04-25 20:26
2022-04-26 3:56,8.5,cp-high,yes,7:00,2022-04-25 20:56
2022-04-26 4:26,8,cp-high,yes,7:00,2022-04-25 21:26
2022-04-26 4:56,7.5,cp-high,yes,7:00,2022-04-25 21:56
2022-04-26 5:26,7.5,cp-high,yes,7:00,2022-04-25 22:26
2022-04-26 5:56,7,cp-high,yes,7:00,2022-04-25 22:56
2022-04-26 6:26,7,cp-high,yes,7:00,2022-04-25 23:26
2022-04-26 6:56,8.5,cp-high,yes,7:00,2022-04-25 23:56
2022-04-26 7:26,9.5,cp-high,yes,7:00,2022-04-26 0:26
2022-04-26 7:56,9.5,cp-high,yes,7:00,2022-04-26 0:56
2022-04-26 8:26,9.5,cp-high,yes,7:00,2022-04-26 1:26
2022-04-26 8:56,9.5,cp-high,yes,7:00,2022-04-26 1:56
